Section 1: Java,,,,,,Section 2: Python,,,,,,Section 3: Pharo,,,,
Original Results,,,,,,Original Results,,,,,,Original Results,,,,
,precision,recall,f1-score,support,,,precision,recall,f1-score,support,,,precision,recall,f1-score,support
summary,0.777339901,0.884529148,0.827477714,892,,usage,0.589041096,0.710743802,0.644194757,121,,KeyImplementationPoints,0.612903226,0.441860465,0.513513514,43
ownership,1,0.955555556,0.977272727,45,,parameters,0.777777778,0.771653543,0.774703557,127,,Example,0.730263158,0.932773109,0.819188192,119
expand,0.705882353,0.12,0.205128205,100,,developmentNotes,0.095238095,0.060606061,0.074074074,33,,Responsibilities,0.6,0.529411765,0.5625,51
usage,0.809160305,0.744730679,0.775609756,427,,expand,0.4375,0.291666667,0.35,48,,ClassReferences,0.5,1,0.666666667,1
pointer,0.694915254,0.921348315,0.792270531,178,,summary,0.481481481,0.506493506,0.493670886,77,,Intent,0.652173913,0.535714286,0.588235294,28
depreciation,1,0.4,0.571428571,15,,average,,,0.588669951,,,KeyMessages,0.735294118,0.641025641,0.684931507,39
rational,0.466666667,0.102941176,0.168674699,68,,macro avg,0.47620769,0.468232716,0.467328655,406,,Collaboration,0,0,0,8
average,,,0.776231884,,,weighted avg,0.569627295,0.588669951,0.575349803,406,,average,,,0.685121107,
macro avg,0.779137783,0.589872125,0.616837458,1725,,Pipeline Results,,,,,,macro avg,0.547233488,0.582969324,0.547862168,289
weighted avg,0.76806674,0.776231884,0.750638285,1725,,usage,0.663865546,0.652892562,0.658333333,121,,weighted avg,0.661915206,0.685121107,0.664711279,289
Pipeline Results,,,,,,parameters,0.786259542,0.811023622,0.798449612,127,,Pipeline Results,,,,
summary,0.77302944,0.912556054,0.837017995,892,,developmentNotes,0.275862069,0.242424242,0.258064516,33,,KeyImplementationPoints,0.609756098,0.581395349,0.595238095,43
ownership,0.97826087,1,0.989010989,45,,expand,0.4,0.375,0.387096774,48,,Example,0.828125,0.890756303,0.858299595,119
expand,0.555555556,0.05,0.091743119,100,,summary,0.573170732,0.61038961,0.591194969,77,,Responsibilities,0.576923077,0.588235294,0.582524272,51
usage,0.833780161,0.728337237,0.7775,427,,average,,,0.628078818,,,ClassReferences,1,1,1,1
pointer,0.748898678,0.95505618,0.839506173,178,,macro avg,0.539831578,0.538346007,0.538627841,406,,Intent,0.64,0.571428571,0.603773585,28
depreciation,0.857142857,0.4,0.545454545,15,,weighted avg,0.622217457,0.628078818,0.62482813,406,,KeyMessages,0.615384615,0.615384615,0.615384615,39
rational,0.5,0.073529412,0.128205128,68,,Tuned Results,,,,,,Collaboration,0.333333333,0.125,0.181818182,8
average,,,0.786086957,,,usage,0.675213675,0.652892562,0.663865546,121,,average,,,0.702422145,
macro avg,0.749523937,0.588496983,0.601205421,1725,,parameters,0.727891156,0.842519685,0.781021898,127,,macro avg,0.657646018,0.624600019,0.633862621,289
weighted avg,0.768292633,0.786086957,0.752825637,1725,,developmentNotes,0.25,0.181818182,0.210526316,33,,weighted avg,0.691266889,0.702422145,0.694816033,289
Tuned Results,,,,,,expand,0.4,0.333333333,0.363636364,48,,Tuned Results,,,,
summary,0.771050142,0.91367713,0.836326321,892,,summary,0.564102564,0.571428571,0.567741935,77,,KeyImplementationPoints,0.488372093,0.488372093,0.488372093,43
ownership,0.97826087,1,0.989010989,45,,average,,,0.620689655,,,Example,0.779411765,0.890756303,0.831372549,119
